iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
167,deriveECUKey_AES_GCM_128,17730,30,16,2,success
168,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
168,deriveECUKey_AES_GCM_128,17830,30,16,2,success
169,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
169,deriveECUKey_AES_GCM_128,17930,30,16,2,success
170,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
170,deriveECUKey_AES_GCM_128,18030,30,16,2,success
171,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
171,deriveECUKey_AES_GCM_128,18130,30,16,2,success
172,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
172,deriveECUKey_AES_GCM_128,18230,30,16,2,success
173,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
173,deriveECUKey_AES_GCM_128,18330,30,16,2,success
174,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
174,deriveECUKey_AES_GCM_128,18430,30,16,2,success
175,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
175,deriveECUKey_AES_GCM_128,18530,30,16,2,success
176,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
176,deriveECUKey_AES_GCM_128,18630,30,16,2,success
177,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
177,deriveECUKey_AES_GCM_128,18730,30,16,2,success
178,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
178,deriveECUKey_AES_GCM_128,18830,30,16,2,success
179,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
179,deriveECUKey_AES_GCM_128,18930,30,16,2,success
180,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
180,deriveECUKey_AES_GCM_128,19030,30,16,2,success
181,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
181,deriveECUKey_AES_GCM_128,19130,30,16,2,success
182,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
182,deriveECUKey_AES_GCM_128,19230,30,16,2,success
183,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
183,deriveECUKey_AES_GCM_128,19330,30,16,2,success
184,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
184,deriveECUKey_AES_GCM_128,19430,30,16,2,success
185,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
185,deriveECUKey_AES_GCM_128,19530,30,16,2,success
186,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
186,deriveECUKey_AES_GCM_128,19630,30,16,2,success
187,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
187,deriveECUKey_AES_GCM_128,19730,30,16,2,success
188,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
188,deriveECUKey_AES_GCM_128,19830,30,16,2,success
189,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
189,deriveECUKey_AES_GCM_128,19930,30,16,2,success
190,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
190,deriveECUKey_AES_GCM_128,20030,30,16,2,success
191,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
191,deriveECUKey_AES_GCM_128,20130,30,16,2,success
192,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
192,deriveECUKey_AES_GCM_128,20230,30,16,2,success
193,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
193,deriveECUKey_AES_GCM_128,20330,30,16,2,success
194,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
194,deriveECUKey_AES_GCM_128,20430,30,16,2,success
195,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
195,deriveECUKey_AES_GCM_128,20530,30,16,2,success
196,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
196,deriveECUKey_AES_GCM_128,20630,30,16,2,success
197,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
197,deriveECUKey_AES_GCM_128,20730,30,16,2,success
198,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
198,deriveECUKey_AES_GCM_128,20830,30,16,2,success
199,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
199,deriveECUKey_AES_GCM_128,20930,30,16,2,success
200,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
200,deriveECUKey_AES_GCM_128,21030,30,16,2,success
201,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
201,deriveECUKey_AES_GCM_128,21130,30,16,2,success
202,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
202,deriveECUKey_AES_GCM_128,21230,30,16,2,success
203,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
203,deriveECUKey_AES_GCM_128,21330,30,16,2,success
204,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
204,deriveECUKey_AES_GCM_128,21430,30,16,2,success
205,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
205,deriveECUKey_AES_GCM_128,21530,30,16,2,success
206,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
206,deriveECUKey_AES_GCM_128,21630,30,16,2,success
207,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
207,deriveECUKey_AES_GCM_128,21730,30,16,2,success
208,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
208,deriveECUKey_AES_GCM_128,21830,30,16,2,success
209,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
209,deriveECUKey_AES_GCM_128,21930,30,16,2,success
210,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
210,deriveECUKey_AES_GCM_128,22030,30,16,2,success
211,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
211,deriveECUKey_AES_GCM_128,22130,30,16,2,success
212,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
212,deriveECUKey_AES_GCM_128,22230,30,16,2,success
213,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
213,deriveECUKey_AES_GCM_128,22330,30,16,2,success
214,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
214,deriveECUKey_AES_GCM_128,22430,30,16,2,success
215,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
215,deriveECUKey_AES_GCM_128,22530,30,16,2,success
216,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
216,deriveECUKey_AES_GCM_128,22630,30,16,2,success
