iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
69,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
69,deriveECUKey_CMAC_AES128,7910,10,16,2,success
70,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
70,deriveECUKey_CMAC_AES128,8010,10,16,2,success
71,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
71,deriveECUKey_CMAC_AES128,8110,10,16,2,success
72,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
72,deriveECUKey_CMAC_AES128,8210,10,16,2,success
73,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
73,deriveECUKey_CMAC_AES128,8310,10,16,2,success
74,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
74,deriveECUKey_CMAC_AES128,8410,10,16,2,success
75,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
75,deriveECUKey_CMAC_AES128,8510,10,16,2,success
76,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
76,deriveECUKey_CMAC_AES128,8610,10,16,2,success
77,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
77,deriveECUKey_CMAC_AES128,8710,10,16,2,success
78,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
78,deriveECUKey_CMAC_AES128,8810,10,16,2,success
79,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
79,deriveECUKey_CMAC_AES128,8910,10,16,2,success
80,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
80,deriveECUKey_CMAC_AES128,9010,10,16,2,success
81,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
81,deriveECUKey_CMAC_AES128,9110,10,16,2,success
82,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
82,deriveECUKey_CMAC_AES128,9210,10,16,2,success
83,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
83,deriveECUKey_CMAC_AES128,9310,10,16,2,success
84,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
84,deriveECUKey_CMAC_AES128,9410,10,16,2,success
85,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
85,deriveECUKey_CMAC_AES128,9510,10,16,2,success
86,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
86,deriveECUKey_CMAC_AES128,9610,10,16,2,success
87,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
87,deriveECUKey_CMAC_AES128,9710,10,16,2,success
88,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
88,deriveECUKey_CMAC_AES128,9810,10,16,2,success
89,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
89,deriveECUKey_CMAC_AES128,9910,10,16,2,success
90,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
90,deriveECUKey_CMAC_AES128,10010,10,16,2,success
91,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
91,deriveECUKey_CMAC_AES128,10110,10,16,2,success
92,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
92,deriveECUKey_CMAC_AES128,10210,10,16,2,success
93,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
93,deriveECUKey_CMAC_AES128,10310,10,16,2,success
94,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
94,deriveECUKey_CMAC_AES128,10410,10,16,2,success
95,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
95,deriveECUKey_CMAC_AES128,10510,10,16,2,success
96,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
96,deriveECUKey_CMAC_AES128,10610,10,16,2,success
97,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
97,deriveECUKey_CMAC_AES128,10710,10,16,2,success
98,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
98,deriveECUKey_CMAC_AES128,10810,10,16,2,success
99,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
99,deriveECUKey_CMAC_AES128,10910,10,16,2,success
100,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
100,deriveECUKey_CMAC_AES128,11010,10,16,2,success
101,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
101,deriveECUKey_CMAC_AES128,11110,10,16,2,success
102,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
102,deriveECUKey_CMAC_AES128,11210,10,16,2,success
103,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
103,deriveECUKey_CMAC_AES128,11310,10,16,2,success
104,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
104,deriveECUKey_CMAC_AES128,11410,10,16,2,success
105,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
105,deriveECUKey_CMAC_AES128,11510,10,16,2,success
